1|101|201|2024-01-15|129.99|North|online|
2|102|202|2024-01-20|45.50|South|store|
3|103|203|2024-02-03|210.00|North|online|
4|101|204|2024-02-14|89.95|East||
5|104|201|2024-03-01|129.99|West|store|
6|105|205|2024-03-10|55.00||online|
7|102|203|2024-03-22|310.50|North|store|
8|106|202|2024-04-05|45.50|South|online|
9|103|206|2024-04-18|175.00|East|store|
10|107|201|2024-05-02|129.99|North|online|
11|108|204|2024-05-15|89.95|West||
12|101|207|2024-06-01|420.00|North|online|
13|109|203|2024-06-20|210.00||store|
14|104|208|2024-07-04|65.75|South|online|
15|110|205|2024-07-19|55.00|East|store|
16|102|201|2024-08-02|129.99|North|online|
17|105|206|2024-08-25|175.00|West|store|
18|103|202|2024-09-10|45.50|North||
19|106|204|2024-10-01|89.95|South|online|
20|101|203|2024-11-15|210.00|North|store|
